Title,Abstract,Publication Date,Link,Authors,Citations,Cleaned_Abstract,Abstract_NLTK,Abstract_Spacy
Control Problems in Robotics and Automation,"Focusing on the important control problems in state-of-the-art robotics and automation, this volume features invited papers from a workshop held at CDC, San Diego, California. As well as looking cu",1998-01-01,https://doi.org/10.1007/bfb0015072,"Bruno Siciliano, George A. Bekey",128,Focusing on the important control problems in stateoftheart robotics and automation this volume features invited papers from a workshop held at CDC San Diego California As well as looking cu,focus import control problem stateoftheart robot autom volum featur invit paper workshop held cdc san diego california well look cu,focus important control problem stateoftheart robotic automation volume feature invite paper workshop hold cdc san diego california look cu
Robotic Process Automation and Artificial Intelligence in Industry 4.0 – A Literature review,"Taking into account the technological evolution of last decades and proliferation information systems in society, today we see vast majority services provided by companies institutions as digital services. Industry 4.0 is fourth industrial revolution where technologies automation are asserting themselves major changes. Robotic Process Automation (RPA) has numerous advantages terms automating organizational business processes. Allied to these advantages, complementary use Artificial Intelligence (AI) algorithms techniques allows improve accuracy execution RPA processes extraction information, recognition, classification, forecasting optimization In this context, paper aims present a study tools associated with AI that can contribute improvement 4.0. It appears enhance their functionality objectives being extended Neural Network algorithms, Text Mining Natural Language Processing for consequent process scenarios improving operational organizations.",2021-01-01,https://doi.org/10.1016/j.procs.2021.01.104,"Jorge Ribeiro, Rui Lima, Tiago Eckhardt, Sara Paiva",251,Taking into account the technological evolution of last decades and proliferation information systems in society today we see vast majority services provided by companies institutions as digital services Industry 40 is fourth industrial revolution where technologies automation are asserting themselves major changes Robotic Process Automation RPA has numerous advantages terms automating organizational business processes Allied to these advantages complementary use Artificial Intelligence AI algorithms techniques allows improve accuracy execution RPA processes extraction information recognition classification forecasting optimization In this context paper aims present a study tools associated with AI that can contribute improvement 40 It appears enhance their functionality objectives being extended Neural Network algorithms Text Mining Natural Language Processing for consequent process scenarios improving operational organizations,take account technolog evolut last decad prolifer inform system societi today see vast major servic provid compani institut digit servic industri 40 fourth industri revolut technolog autom assert major chang robot process autom rpa numer advantag term autom organiz busi process alli advantag complementari use artifici intellig ai algorithm techniqu allow improv accuraci execut rpa process extract inform recognit classif forecast optim context paper aim present studi tool associ ai contribut improv 40 appear enhanc function object extend neural network algorithm text mine natur languag process consequ process scenario improv oper organ,take account technological evolution decade proliferation information system society today vast majority service provide company institution digital service industry fourth industrial revolution technology automation assert major change robotic process automation rpa numerous advantage term automate organizational business process ally advantage complementary use artificial intelligence ai algorithm technique allow improve accuracy execution rpa process extraction information recognition classification forecasting optimization context paper aim present study tool associate ai contribute improvement appear enhance functionality objective extend neural network algorithm text mining natural language processing consequent process scenario improve operational organization
Applying robotic process automation (RPA) in auditing: A framework,"Robotic process automation (RPA) has been widely adopted in many industries, including the accounting industry, to automate well-defined and repetitive tasks; however, its application auditing lagged behind because of unique nature this industry. This study applies RPA area. An framework is proposed that frees auditors from doing low-judgment audit tasks enables them focus on require professional judgment. paper also demonstrates feasibility by implementing a pilot project confirmation process.",2019-12-01,https://doi.org/10.1016/j.accinf.2019.100433,"Feiqi Huang, Miklos A. Vasarhelyi",185,Robotic process automation RPA has been widely adopted in many industries including the accounting industry to automate welldefined and repetitive tasks however its application auditing lagged behind because of unique nature this industry This study applies RPA area An framework is proposed that frees auditors from doing lowjudgment audit tasks enables them focus on require professional judgment paper also demonstrates feasibility by implementing a pilot project confirmation process,robot process autom rpa wide adopt mani industri includ account industri autom welldefin repetit task howev applic audit lag behind uniqu natur industri studi appli rpa area framework propos free auditor lowjudg audit task enabl focu requir profession judgment paper also demonstr feasibl implement pilot project confirm process,robotic process automation rpa widely adopt industry include accounting industry automate welldefine repetitive task application auditing lag unique nature industry study apply rpa area framework propose free auditor lowjudgment audit task enable focus require professional judgment paper demonstrate feasibility implement pilot project confirmation process
An IEEE standard Ontology for Robotics and Automation,"This article discusses a newly formed IEEE-RAS working group entitled Ontologies for Robotics and Automation (ORA). The goal of this is to develop standard ontology associated methodology knowledge representation reasoning in robotics automation, together with the concepts an initial set application domains. provides unified way representing common terms definitions, allowing unambiguous transfer among any humans, robots, other artificial systems. In addition describing structure group, gives some examples how ontology, once developed, can be used by applications such as industrial kitting.",2012-10-01,https://doi.org/10.1109/iros.2012.6385518,"Craig Schlenoff, Edson Prestes, Raj Madhavan, Paulo Gonçalves, Howard Li, Stephen Balakirsky, Thomas Krämer, Emilio Miguelañez",109,This article discusses a newly formed IEEERAS working group entitled Ontologies for Robotics and Automation ORA The goal of this is to develop standard ontology associated methodology knowledge representation reasoning in robotics automation together with the concepts an initial set application domains provides unified way representing common terms definitions allowing unambiguous transfer among any humans robots other artificial systems In addition describing structure group gives some examples how ontology once developed can be used by applications such as industrial kitting,articl discuss newli form ieeera work group entitl ontolog robot autom ora goal develop standard ontolog associ methodolog knowledg represent reason robot autom togeth concept initi set applic domain provid unifi way repres common term definit allow unambigu transfer among human robot artifici system addit describ structur group give exampl ontolog develop use applic industri kit,article discuss newly form ieeeras working group entitle ontology robotic automation ora goal develop standard ontology associate methodology knowledge representation reasoning robotic automation concept initial set application domain provide unified way represent common term definition allow unambiguous transfer human robot artificial system addition describe structure group give example ontology develop application industrial kitting
Economics of robots and automation in field crop production,"This study reviewed research published after 1990 on the economics of agricultural mechatronic automation and robotics, identified gaps. A systematic search was conducted from following databases: ScienceDirect, Business Source Complete, Wiley, Emerald, CAB Abstract, Greenfile, Food Science AgEcon Search. 4817 documents. The screening abstracts narrowed range to a dataset 119 full text After eligibility assessment, 18 studies were subjected qualitative analysis, with ten focused specific horticultural operations eight related autonomous equipment. All found some scenarios in which robotic technologies profitable. Most employed partial budgeting considering only costs revenues directly changed by introduction or robotics assuming everything else constant. None examined cropping system changes, regional national impacts markets, trade labour demand. review need for in-depth economic implications technology. estimated that technology design parameters achieved and/or based data prototypes. Data are needed benefits problems using farm. context agriculture developed countries, but many world’s most pressing developing world. Economic social is understand those country problems, guide engineers scientists creating solutions.",2019-05-17,https://doi.org/10.1007/s11119-019-09667-5,"James Lowenberg‐DeBoer, Iona Yuelu Huang, Vasileios Grigoriadis, Simon Blackmore",139,This study reviewed research published after 1990 on the economics of agricultural mechatronic automation and robotics identified gaps A systematic search was conducted from following databases ScienceDirect Business Source Complete Wiley Emerald CAB Abstract Greenfile Food Science AgEcon Search 4817 documents The screening abstracts narrowed range to a dataset 119 full text After eligibility assessment 18 studies were subjected qualitative analysis with ten focused specific horticultural operations eight related autonomous equipment All found some scenarios in which robotic technologies profitable Most employed partial budgeting considering only costs revenues directly changed by introduction or robotics assuming everything else constant None examined cropping system changes regional national impacts markets trade labour demand review need for indepth economic implications technology estimated that technology design parameters achieved andor based data prototypes Data are needed benefits problems using farm context agriculture developed countries but many worlds most pressing developing world Economic social is understand those country problems guide engineers scientists creating solutions,studi review research publish 1990 econom agricultur mechatron autom robot identifi gap systemat search conduct follow databas sciencedirect busi sourc complet wiley emerald cab abstract greenfil food scienc agecon search 4817 document screen abstract narrow rang dataset 119 full text elig assess 18 studi subject qualit analysi ten focus specif horticultur oper eight relat autonom equip found scenario robot technolog profit employ partial budget consid cost revenu directli chang introduct robot assum everyth els constant none examin crop system chang region nation impact market trade labour demand review need indepth econom implic technolog estim technolog design paramet achiev andor base data prototyp data need benefit problem use farm context agricultur develop countri mani world press develop world econom social understand countri problem guid engin scientist creat solut,study review research publish economic agricultural mechatronic automation robotic identify gap systematic search conduct follow database sciencedirect business source complete wiley emerald cab abstract greenfile food science agecon search document screening abstract narrow range dataset text eligibility assessment study subject qualitative analysis focus specific horticultural operation relate autonomous equipment find scenario robotic technology profitable employ partial budgeting consider cost revenue directly change introduction robotic assume constant examine cropping system change regional national impact market trade labour demand review need indepth economic implication technology estimate technology design parameter achieve andor base datum prototype datum need benefit problem farm context agriculture develop country world press develop world economic social understand country problem guide engineer scientist create solution
Early evidence of digital labor in accounting: Innovation with Robotic Process Automation,"Robotic Process Automation (RPA) is an emerging technology that enables the automation of rules-based business processes and tasks through use software bots. Drawing upon theory Task-Technology Fit (TTF) Technology-to-Performance Chain (TPC) (Goodhue Thompson 1995) research on expert systems (Messier Hansen 1987; Sutton 1990), this study explores themes surrounding bot implementation for accounting finance tasks. We collect analyze interview data from adopters RPA document task suitability, task-technology fit, issues, resulting performance outcomes. find securing technical capability only a part process. Organizations engage in standardization optimization processes, develop scorecard-like tools to rank tasks, adjust governance structures include digital employees, redefine internal controls. benefit automating certain those are structured, repeated, rules-based, with inputs. Along cost savings, organizations experience improved process documentation, lower error rates, more accurate measurement performance, better report quality.",2019-12-01,https://doi.org/10.1016/j.accinf.2019.100431,"Julia Kokina, Shay Blanchette",175,Robotic Process Automation RPA is an emerging technology that enables the automation of rulesbased business processes and tasks through use software bots Drawing upon theory TaskTechnology Fit TTF TechnologytoPerformance Chain TPC Goodhue Thompson 1995 research on expert systems Messier Hansen 1987 Sutton 1990 this study explores themes surrounding bot implementation for accounting finance tasks We collect analyze interview data from adopters RPA document task suitability tasktechnology fit issues resulting performance outcomes find securing technical capability only a part process Organizations engage in standardization optimization processes develop scorecardlike tools to rank tasks adjust governance structures include digital employees redefine internal controls benefit automating certain those are structured repeated rulesbased with inputs Along cost savings organizations experience improved process documentation lower error rates more accurate measurement performance better report quality,robot process autom rpa emerg technolog enabl autom rulesbas busi process task use softwar bot draw upon theori tasktechnolog fit ttf technologytoperform chain tpc goodhu thompson 1995 research expert system messier hansen 1987 sutton 1990 studi explor theme surround bot implement account financ task collect analyz interview data adopt rpa document task suitabl tasktechnolog fit issu result perform outcom find secur technic capabl part process organ engag standard optim process develop scorecardlik tool rank task adjust govern structur includ digit employe redefin intern control benefit autom certain structur repeat rulesbas input along cost save organ experi improv process document lower error rate accur measur perform better report qualiti,robotic process automation rpa emerge technology enable automation rulesbased business process task use software bot draw theory tasktechnology fit ttf technologytoperformance chain tpc goodhue thompson research expert system messy hansen sutton study explore theme surround bot implementation accounting finance task collect analyze interview datum adopter rpa document task suitability tasktechnology fit issue result performance outcome find secure technical capability process organization engage standardization optimization process develop scorecardlike tool rank task adjust governance structure include digital employee redefine internal control benefit automate certain structure repeat rulesbase input cost saving organization experience improve process documentation low error rate accurate measurement performance well report quality
Robotics and automation in the city: a research agenda,"Globally cities are becoming experimental sites for new forms of robotic and automation technologies applied across a wide variety sectors in multiple areas economic social life. As these innovations leave the laboratory factory, this paper analyzes how robotics systems being layered upon existing urban digital networks, extending capabilities capacities human agency infrastructure reshaping city citizen’s everyday experiences. To date, most work field has been speculative isolated nature. We set out research agenda that goes beyond analysis discrete applications effects, to investigate connect domains implications differential geographies, selective enhancement individuals collective management infrastructures, socio-spatial sorting potential responsible innovation.",2019-12-31,https://doi.org/10.1080/02723638.2019.1698868,"Rachel Macrorie, Simon Marvin, Aidan While",108,Globally cities are becoming experimental sites for new forms of robotic and automation technologies applied across a wide variety sectors in multiple areas economic social life As these innovations leave the laboratory factory this paper analyzes how robotics systems being layered upon existing urban digital networks extending capabilities capacities human agency infrastructure reshaping city citizens everyday experiences To date most work field has been speculative isolated nature We set out research agenda that goes beyond analysis discrete applications effects to investigate connect domains implications differential geographies selective enhancement individuals collective management infrastructures sociospatial sorting potential responsible innovation,global citi becom experiment site new form robot autom technolog appli across wide varieti sector multipl area econom social life innov leav laboratori factori paper analyz robot system layer upon exist urban digit network extend capabl capac human agenc infrastructur reshap citi citizen everyday experi date work field specul isol natur set research agenda goe beyond analysi discret applic effect investig connect domain implic differenti geographi select enhanc individu collect manag infrastructur sociospati sort potenti respons innov,globally city experimental site new form robotic automation technology apply wide variety sector multiple area economic social life innovation leave laboratory factory paper analyze robotic system layer exist urban digital network extend capability capacity human agency infrastructure reshape city citizen everyday experience date work field speculative isolated nature set research agenda go analysis discrete application effect investigate connect domain implication differential geography selective enhancement individual collective management infrastructure sociospatial sort potential responsible innovation
Robotic Process Automation: A Scientific and Industrial Systematic Mapping Study,"The automation of robotic processes has been experiencing an increasing trend interest in recent times. However, most literature describes only theoretical foundations on RPA or industrial results after implementing specific scenarios, especially finance and outsourcing. This paper presents a systematic mapping study with the aim analyzing current state-of-the-art identifying existing gaps both, scientific literature. Firstly, this in-depth analysis 54 primary studies which formally describe state art RPA. These were selected as result conducting phase review. Secondly, considering performed by Forrester, reviews 14 main commercial tools RPA, based classification framework defined 48 functionalities evaluating coverage each them. concludes that there are certain phases lifecycle already solved market. Analysis is not covered tools. lack such mainly reflected absence technological solutions to look for best candidate organization be automated. Finally, some future directions challenges presented.",2020-01-01,https://doi.org/10.1109/access.2020.2974934,"José Matías Rivero, Andres J. Ramirez, Francisco José Domínguez Mayo, J. A. Garcia-Garcia",131,The automation of robotic processes has been experiencing an increasing trend interest in recent times However most literature describes only theoretical foundations on RPA or industrial results after implementing specific scenarios especially finance and outsourcing This paper presents a systematic mapping study with the aim analyzing current stateoftheart identifying existing gaps both scientific literature Firstly this indepth analysis 54 primary studies which formally describe state art RPA These were selected as result conducting phase review Secondly considering performed by Forrester reviews 14 main commercial tools RPA based classification framework defined 48 functionalities evaluating coverage each them concludes that there are certain phases lifecycle already solved market Analysis is not covered tools lack such mainly reflected absence technological solutions to look for best candidate organization be automated Finally some future directions challenges presented,autom robot process experienc increas trend interest recent time howev literatur describ theoret foundat rpa industri result implement specif scenario especi financ outsourc paper present systemat map studi aim analyz current stateoftheart identifi exist gap scientif literatur firstli indepth analysi 54 primari studi formal describ state art rpa select result conduct phase review secondli consid perform forrest review 14 main commerci tool rpa base classif framework defin 48 function evalu coverag conclud certain phase lifecycl alreadi solv market analysi cover tool lack mainli reflect absenc technolog solut look best candid organ autom final futur direct challeng present,automation robotic process experience increase trend interest recent time literature describe theoretical foundation rpa industrial result implement specific scenario especially finance outsource paper present systematic mapping study aim analyze current stateoftheart identify exist gap scientific literature firstly indepth analysis primary study formally describe state art rpa select result conduct phase review secondly consider perform forrester review main commercial tool rpa base classification framework define functionality evaluate coverage conclude certain phase lifecycle solve market analysis cover tool lack mainly reflect absence technological solution look good candidate organization automate finally future direction challenge present
Robotic Process Automation: Strategic Transformation Lever for Global Business Services?,"The case presents a series of dilemmas facing senior executives thinking through the potential application robotic process automation (RPA) into human resource (HR) function and global business service (GBS) operations. are pointed to successful RPA implementation by provider Xchanging, operating in back office London insurance market. teaching focuses on what can be learned from that experience, how their own use may differ HR GBS contexts. requires important decisions made about for cognitive automation, type deployed, implement effectively contexts, whether tactically or strategically, if latter, implications this decision. Students practitioners will gain insight landscape, risks, challenges, effective deployment, lean plan (a) strategy building mature capability, (b) mitigate (c) progress launch, change management detailed multiple",2017-05-01,https://doi.org/10.1057/s41266-016-0016-9,"Leslie P. Willcocks, Mary C. Lacity, Andrew Craig",130,The case presents a series of dilemmas facing senior executives thinking through the potential application robotic process automation RPA into human resource HR function and global business service GBS operations are pointed to successful RPA implementation by provider Xchanging operating in back office London insurance market teaching focuses on what can be learned from that experience how their own use may differ HR GBS contexts requires important decisions made about for cognitive automation type deployed implement effectively contexts whether tactically or strategically if latter implications this decision Students practitioners will gain insight landscape risks challenges effective deployment lean plan a strategy building mature capability b mitigate c progress launch change management detailed multiple,case present seri dilemma face senior execut think potenti applic robot process autom rpa human resourc hr function global busi servic gb oper point success rpa implement provid xchang oper back offic london insur market teach focus learn experi use may differ hr gb context requir import decis made cognit autom type deploy implement effect context whether tactic strateg latter implic decis student practition gain insight landscap risk challeng effect deploy lean plan strategi build matur capabl b mitig c progress launch chang manag detail multipl,case present series dilemma face senior executive think potential application robotic process automation rpa human resource hr function global business service gbs operation point successful rpa implementation provider xchanging operate office london insurance market teaching focus learn experience use differ hr gbs contexts require important decision cognitive automation type deploy implement effectively context tactically strategically implication decision student practitioner gain insight landscape risk challenge effective deployment lean plan strategy build mature capability b mitigate c progress launch change management detail multiple
Robotic Process Automation: Systematic Literature Review,"Robotic process automation (RPA) emerges as a new technology which is focused on of repetitive, routine, rule-based human tasks, aiming to bring benefits the organizations that decide implement such software solution. Since RPA relatively available market, scientific literature topic still scarce. Therefore, this paper aims investigate how academic community defines and extent has it been investigated in terms state, trends, application RPA. Moreover, difference between business management also addressed. In order do so, systematic review (SLR) based Web Science Scopus databases conducted. The provides results conducted SLR providing an overview definitions practical usage well its implementation different industries.",2019-01-01,https://doi.org/10.1007/978-3-030-30429-4_19,"Lucija Ivančić, Dalia Suša Vugec, Vesna Bosilj Vukšić",104,Robotic process automation RPA emerges as a new technology which is focused on of repetitive routine rulebased human tasks aiming to bring benefits the organizations that decide implement such software solution Since RPA relatively available market scientific literature topic still scarce Therefore this paper aims investigate how academic community defines and extent has it been investigated in terms state trends application RPA Moreover difference between business management also addressed In order do so systematic review SLR based Web Science Scopus databases conducted The provides results conducted SLR providing an overview definitions practical usage well its implementation different industries,robot process autom rpa emerg new technolog focus repetit routin rulebas human task aim bring benefit organ decid implement softwar solut sinc rpa rel avail market scientif literatur topic still scarc therefor paper aim investig academ commun defin extent investig term state trend applic rpa moreov differ busi manag also address order systemat review slr base web scienc scopu databas conduct provid result conduct slr provid overview definit practic usag well implement differ industri,robotic process automation rpa emerge new technology focus repetitive routine rulebase human task aim bring benefit organization decide implement software solution rpa relatively available market scientific literature topic scarce paper aim investigate academic community define extent investigate term state trend application rpa difference business management address order systematic review slr base web science scopus database conduct provide result conduct slr provide overview definition practical usage implementation different industry
Impacts of Robotic Process Automation on Global Accounting Services,"The aim of this study is to understand the impact Robotic Process Automation (RPA) on Global Accounting Services (GAS) using institutional logic lens. This uses an in-depth case approach in one largest global business services firm that provides accounting services. result showed RPA technology has significant impacts individual and organization resulted change reduction work, thus reducing number employees. Nevertheless, introduction new creates unnecessary competition between humans robots. Although could solve issues involving such as disciplinary problems, employee productivity, human resource shortages, high level works analytical aspect not be completely replaced by robots can only done humans.",2018-04-30,https://doi.org/10.17576/ajag-2018-09-11,"Dahlia Fernandez, Aini Aman",111,The aim of this study is to understand the impact Robotic Process Automation RPA on Global Accounting Services GAS using institutional logic lens This uses an indepth case approach in one largest global business services firm that provides accounting services result showed RPA technology has significant impacts individual and organization resulted change reduction work thus reducing number employees Nevertheless introduction new creates unnecessary competition between humans robots Although could solve issues involving such as disciplinary problems employee productivity human resource shortages high level works analytical aspect not be completely replaced by robots can only done humans,aim studi understand impact robot process autom rpa global account servic ga use institut logic len use indepth case approach one largest global busi servic firm provid account servic result show rpa technolog signific impact individu organ result chang reduct work thu reduc number employe nevertheless introduct new creat unnecessari competit human robot although could solv issu involv disciplinari problem employe product human resourc shortag high level work analyt aspect complet replac robot done human,aim study understand impact robotic process automation rpa global accounting service gas institutional logic lens use indepth case approach large global business service firm provide accounting service result show rpa technology significant impact individual organization result change reduction work reduce number employee introduction new create unnecessary competition human robot solve issue involve disciplinary problem employee productivity human resource shortage high level work analytical aspect completely replace robot human
Norm-Optimal Iterative Learning Control Applied to Gantry Robots for Automation Applications,"This paper is concerned with the practical implementation of norm-optimal iterative learning control (NOILC) algorithm. Here, complexity this algorithm first considered respect to real-time applications, and a new modified version, fast ILC (F-NOILC), derived for application, which potentially allows sampling rate three times faster that original A performance index used assess experimental results obtained from applying F-NOILC an industrial gantry robot system and, in particular, effects varying parameters cost function, at heart approach",2006-12-01,https://doi.org/10.1109/tro.2006.882927,"James D. Ratcliffe, P.L. Lewin, Eric Rogers, J. Hätönen, D.H. Owens",105,This paper is concerned with the practical implementation of normoptimal iterative learning control NOILC algorithm Here complexity this algorithm first considered respect to realtime applications and a new modified version fast ILC FNOILC derived for application which potentially allows sampling rate three times faster that original A performance index used assess experimental results obtained from applying FNOILC an industrial gantry robot system and in particular effects varying parameters cost function at heart approach,paper concern practic implement normoptim iter learn control noilc algorithm complex algorithm first consid respect realtim applic new modifi version fast ilc fnoilc deriv applic potenti allow sampl rate three time faster origin perform index use assess experiment result obtain appli fnoilc industri gantri robot system particular effect vari paramet cost function heart approach,paper concern practical implementation normoptimal iterative learning control noilc algorithm complexity algorithm consider respect realtime application new modify version fast ilc fnoilc derive application potentially allow sampling rate time fast original performance index assess experimental result obtain apply fnoilc industrial gantry robot system particular effect vary parameter cost function heart approach
